,Country,Time,PopMale,PopFemale,PopTotal,PopDensity
86,African Union: Central Africa,2007,"52,943,984","53,454,918","106,398,902",20.167
87,African Union: Central Africa,2008,"54,666,591","55,142,325","109,808,916",20.814
88,African Union: Central Africa,2009,"56,442,883","56,882,828","113,325,711",21.48
89,African Union: Central Africa,2010,"58,268,478","58,673,012","116941,49",22.166
90,African Union: Central Africa,2011,"60,140,255","60,510,172","120,650,427",22.869
91,African Union: Central Africa,2012,"62,058,288","62,394,338","124,452,626",23.589
92,African Union: Central Africa,2013,"64,025,081","64,328,018","128,353,099",24.329
93,African Union: Central Africa,2014,"66,044,772","66,315,326","132,360,098",25.088
94,African Union: Central Africa,2015,"68,120,034","68,358,847","136,478,881",25.869
95,African Union: Central Africa,2016,"70,251,224","70,459,078","140,710,302",26.671
96,African Union: Central Africa,2017,"72,435,621","72,613,615","145,049,236",27.493
97,African Union: Central Africa,2018,"74,668,963","74,818,507","149487,47",28.335
98,African Union: Central Africa,2019,"76,945,498","77,068,207","154,013,705",29.192
99,African Union: Central Africa,2020,"79260,91","79,358,728","158,619,638",30.066
100,African Union: Eastern Africa,2001,"115819,96","117,000,483","232,820,443",36.418
101,African Union: Eastern Africa,2002,"119,183,416","120,382,368","239,565,784",37.473
102,African Union: Eastern Africa,2003,"122,620,982","123,833,221","246,454,203",38.55
103,African Union: Eastern Africa,2004,"126,138,978","127,369,859","253,508,837",39.654
104,African Union: Eastern Africa,2005,"129,742,892","131,004,659","260,747,551",40.786
105,African Union: Eastern Africa,2006,"133,431,724","134740,21","268,171,934",41.947
106,African Union: Eastern Africa,2007,"137,205,784","138573,0","275,778,784",43.137
107,African Union: Eastern Africa,2008,"141,073,823","142,502,129","283,575,952",44.357
108,African Union: Eastern Africa,2009,"145,046,972","146,525,063","291,572,035",45.607
109,African Union: Eastern Africa,2010,"149,133,063","150,640,082","299,773,145",46.89
110,African Union: Eastern Africa,2011,"153,333,824","154,845,819","308,179,643",48.205
111,African Union: Eastern Africa,2012,"157,646,409","159,143,202","316,789,611",49.552
112,African Union: Eastern Africa,2013,"162,067,886","163,534,752","325,602,638",50.93
113,African Union: Eastern Africa,2014,"166,593,337","168,023,825","334,617,162",52.34
114,African Union: Eastern Africa,2015,"171217,66","172,611,861","343,829,521",53.781
115,African Union: Eastern Africa,2016,"175,940,856","177300,18","353,241,036",55.254
116,African Union: Eastern Africa,2017,"180,759,824","182,084,788","362,844,612",56.756
117,African Union: Eastern Africa,2018,"185,662,553","186,955,186","372,617,739",58.284
118,African Union: Eastern Africa,2019,"190633,88","191,897,339","382,531,219",59.835
119,African Union: Eastern Africa,2020,"195,662,618","196,901,054","392,563,672",61.404
120,African Union: Northern Africa,2001,"74,952,458","74,054,256","149,006,714",21.18
121,African Union: Northern Africa,2002,"76,117,299","75221,3","151,338,599",21.512
122,African Union: Northern Africa,2003,"77,292,495","76,394,804","153,687,299",21.846
123,African Union: Northern Africa,2004,"78,483,175","77,584,738","156,067,913",22.184
124,African Union: Northern Africa,2005,"79,695,487","78,800,479","158,495,966",22.529
125,African Union: Northern Africa,2006,"80,928,866","80042,85","160,971,716",22.881
126,African Union: Northern Africa,2007,"82,190,363","81,316,644","163,507,007",23.242
127,African Union: Northern Africa,2008,"83,502,409","82,639,115","166,141,524",23.616
128,African Union: Northern Africa,2009,"84,893,266","84,031,623","168,924,889",24.012
129,African Union: Northern Africa,2010,"86,381,501","85,507,958","171,889,459",24.433
130,African Union: Northern Africa,2011,"87,974,613","87,073,546","175,048,159",24.882
131,African Union: Northern Africa,2012,"89,662,497","88,720,612","178,383,109",25.356
132,African Union: Northern Africa,2013,"91,423,632","90,432,514","181,856,146",25.85
133,African Union: Northern Africa,2014,"93,226,716","92185,11","185,411,826",26.355
134,African Union: Northern Africa,2015,"95,046,538","93958,42","189,004,958",26.866
135,African Union: Northern Africa,2016,"96,875,959","95,747,162","192,623,121",27.38
136,African Union: Northern Africa,2017,"98,713,643","97,548,738","196,262,381",27.898
137,African Union: Northern Africa,2018,"100,546,913","99,348,669","199,895,582",28.414
138,African Union: Northern Africa,2019,"102,362,525","101,130,701","203,493,226",28.925
139,African Union: Northern Africa,2020,"104,150,287","102,882,612","207,032,899",29.429
140,African Union: Southern Africa,2001,"59,517,044","61,817,656","121334,7",20.536
141,African Union: Southern Africa,2002,"60,637,011","63,042,169","123679,18",20.933
142,African Union: Southern Africa,2003,"61777,99","64287,58","126065,57",21.337
143,African Union: Southern Africa,2004,"62,965,089","65,573,107","128,538,196",21.756
144,African Union: Southern Africa,2005,"64,217,446","66,913,654","131131,1",22.195
145,African Union: Southern Africa,2006,"65,541,292","68,314,149","133,855,441",22.656
146,African Union: Southern Africa,2007,"66935,66","69,775,022","136,710,682",23.139
147,African Union: Southern Africa,2008,"68,403,366","71,300,417","139,703,783",23.645
148,African Union: Southern Africa,2009,"69,945,063","72,893,341","142,838,404",24.176
149,African Union: Southern Africa,2010,"71,559,763","74554,74","146,114,503",24.731
150,African Union: Southern Africa,2011,"73251,0","76,288,485","149,539,485",25.31
151,African Union: Southern Africa,2012,"75,016,126","78,092,039","153,108,165",25.914
152,African Union: Southern Africa,2013,"76,839,591","79,951,716","156,791,307",26.538
153,African Union: Southern Africa,2014,"78,700,188","81,848,529","160,548,717",27.174
154,African Union: Southern Africa,2015,"80,582,194","83,768,539","164,350,733",27.817
155,African Union: Southern Africa,2016,"82,479,617","85,706,488","168,186,105",28.466
156,African Union: Southern Africa,2017,"84394,96","87,665,006","172,059,966",29.122
157,African Union: Southern Africa,2018,"86,331,423","89,647,602","175,979,025",29.785
158,African Union: Southern Africa,2019,"88,295,489","91,661,003","179,956,492",30.458
159,African Union: Southern Africa,2020,"90,292,138","93710,05","184,002,188",31.143
160,African Union: Western Africa,2001,"119,415,692","118,879,222","238,294,914",47.347
161,African Union: Western Africa,2002,"122,610,089","122018,26","244,628,349",48.605
162,African Union: Western Africa,2003,"125,898,385","125,244,497","251,142,882",49.9
163,African Union: Western Africa,2004,"129,300,485","128,578,196","257,878,681",51.238
164,African Union: Western Africa,2005,"132,830,916","132,034,204","264865,12",52.626
165,African Union: Western Africa,2006,"136,496,213","135,618,698","272,114,911",54.066
166,African Union: Western Africa,2007,"140,293,748","139,328,704","279,622,452",55.558
167,African Union: Western Africa,2008,"144,217,346","143,158,252","287,375,598",57.099
168,African Union: Western Africa,2009,"148,256,353","147,097,175","295,353,528",58.684
169,African Union: Western Africa,2010,"152,403,025","151,138,002","303,541,027",60.311
170,African Union: Western Africa,2011,"156,655,314","155279,13","311,934,444",61.978
171,African Union: Western Africa,2012,"161,015,806","159,523,165","320,538,971",63.688
172,African Union: Western Africa,2013,"165487,02","163,871,462","329,358,482",65.44
173,African Union: Western Africa,2014,"170,072,901","168,326,559","338399,46",67.237
174,African Union: Western Africa,2015,"174,775,642","172,889,829","347,665,471",69.078
175,African Union: Western Africa,2016,"179,596,058","177561,76","357,157,818",70.964
176,African Union: Western Africa,2017,"184,530,839","182,340,134","366,870,973",72.894
177,African Union: Western Africa,2018,"189,572,743","187,220,359","376,793,102",74.865
178,African Union: Western Africa,2019,"194,712,077","192,196,311","386,908,388",76.875
179,African Union: Western Africa,2020,"199,941,869","197,263,655","397,205,524",78.921
180,"African, Caribbean and Pacific (ACP) Group of States",2001,"358,707,764","362,343,674","721,051,438",29.858
181,"African, Caribbean and Pacific (ACP) Group of States",2002,"367,888,974","371,564,715","739,453,689",30.62
182,"African, Caribbean and Pacific (ACP) Group of States",2003,"377,343,544","381,044,538","758,388,082",31.404
183,"African, Caribbean and Pacific (ACP) Group of States",2004,"387,094,272","390,813,002","777,907,274",32.212
184,"African, Caribbean and Pacific (ACP) Group of States",2005,"397,160,289","400,893,602","798,053,891",33.046
185,"African, Caribbean and Pacific (ACP) Group of States",2006,"407,551,633","411299,19","818,850,823",33.908
186,"African, Caribbean and Pacific (ACP) Group of States",2007,"418,276,324","422,034,746","840311,07",34.796
187,"African, Caribbean and Pacific (ACP) Group of States",2008,"429,348,486","433,105,188","862,453,674",35.713
188,"African, Caribbean and Pacific (ACP) Group of States",2009,"440,781,601","444,511,764","885,293,365",36.659
189,"African, Caribbean and Pacific (ACP) Group of States",2010,"452,583,757","456,254,249","908,838,006",37.634
190,"African, Caribbean and Pacific (ACP) Group of States",2011,"464,758,167","468,333,336","933,091,503",38.638
191,"African, Caribbean and Pacific (ACP) Group of States",2012,"477298,61","480,747,433","958,046,043",39.672
192,"African, Caribbean and Pacific (ACP) Group of States",2013,"490,190,481","493,489,013","983,679,494",40.733
193,"African, Caribbean and Pacific (ACP) Group of States",2014,"503412,53","506,547,376","1,009,959,906",41.821
194,"African, Caribbean and Pacific (ACP) Group of States",2015,"516944,95","519,911,327","1,036,856,277",42.935
195,"African, Caribbean and Pacific (ACP) Group of States",2016,"530,784,604","533,579,807","1,064,364,411",44.074
196,"African, Caribbean and Pacific (ACP) Group of States",2017,"544,922,424","547,544,042","1,092,466,466",45.238
197,"African, Caribbean and Pacific (ACP) Group of States",2018,"559,325,574","561,775,319","1,121,100,893",46.423
198,"African, Caribbean and Pacific (ACP) Group of States",2019,"573,953,218","576,237,357","1,150,190,575",47.628
199,"African, Caribbean and Pacific (ACP) Group of States",2020,"588,776,009","590,903,897","1,179,679,906",48.849
200,Albania,2001,"1,586,178","1,543,523","3,129,701",114.223
201,Albania,2002,"1,582,936","1,543,247","3,126,183",114.094
202,Albania,2003,"1,574,841","1,543,176","3,118,017",113.796
203,Albania,2004,"1,563,966","1,540,927","3,104,893",113.317
204,Albania,2005,"1,551,975","1,534,835","3086,81",112.657
205,Albania,2006,"1,538,721","1524,3","3,063,021",111.789
206,Albania,2007,"1,523,893","1510,1","3,033,993",110.73
207,Albania,2008,"1,508,919","1,493,764","3,002,683",109.587
208,Albania,2009,"1,495,558","1,477,486","2,973,044",108.505
209,Albania,2010,"1,485,068","1,462,961","2,948,029",107.592
210,Albania,2011,"1,478,059","1,450,542","2,928,601",106.883
211,Albania,2012,"1,474,211","1439,88","2,914,091",106.354
212,Albania,2013,"1472,67","1,431,118","2,903,788",105.978
213,Albania,2014,"1,472,095","1,424,212","2,896,307",105.705
214,Albania,2015,"1,471,456","1,419,068","2,890,524",105.494
215,Albania,2016,"1,470,548","1,415,879","2,886,427",105.344
216,Albania,2017,"1,469,588","1,414,581","2,884,169",105.262
217,Albania,2018,"1,468,376","1,414,359","2,882,735",105.209
218,Albania,2019,"1,466,785","1,414,128","2,880,913",105.143
219,Albania,2020,"1,464,714","1,413,086","2877,8",105.029
220,Algeria,2001,"15,935,089","15,516,424","31,451,513",13.205
221,Algeria,2002,"16,134,005","15,721,105","31855,11",13.375
222,Algeria,2003,"16,333,986","15,930,173","32,264,159",13.546
223,Algeria,2004,"16,542,653","16149,5","32,692,153",13.726
224,Algeria,2005,"16,766,027","16,383,693","33149,72",13.918
225,Algeria,2006,"17,006,259","16,634,748","33,641,007",14.125
226,Algeria,2007,"17,263,894","16,903,082","34,166,976",14.345
227,Algeria,2008,"17,541,178","17,189,426","34,730,604",14.582
228,Algeria,2009,"17,840,024","17,493,858","35,333,882",14.835
229,Algeria,2010,"18161,36","17,816,091","35,977,451",15.106
230,Algeria,2011,"18,505,611","18,155,827","36,661,438",15.393
231,Algeria,2012,"18,871,563","18,512,336","37,383,899",15.696
232,Algeria,2013,"19,256,116","18,884,019","38,140,135",16.014
233,Algeria,2014,"19,654,929","19,268,759","38,923,688",16.343
234,Algeria,2015,"20,063,891","19,664,129","39728,02",16.68
235,Algeria,2016,"20,481,901","20,069,497","40,551,398",17.026
236,Algeria,2017,"20,906,756","20,482,418","41,389,174",17.378
237,Algeria,2018,"21,331,993","20,896,422","42,228,415",17.73
238,Algeria,2019,"21,749,666","21,303,388","43,053,054",18.076
239,Algeria,2020,"22,153,808","21,697,235","43,851,043",18.411
240,American Samoa,2001,nan,nan,"58,496",292.48
241,American Samoa,2002,nan,nan,"59,077",295.385
242,American Samoa,2003,nan,nan,"59,495",297.475
243,American Samoa,2004,nan,nan,"59,684",298.42
244,American Samoa,2005,nan,nan,"59,557",297.785
245,American Samoa,2006,nan,nan,"59,109",295.545
246,American Samoa,2007,nan,nan,"58,367",291.835
247,American Samoa,2008,nan,nan,"57,49",287.45
248,American Samoa,2009,nan,nan,"56,675",283.375
249,American Samoa,2010,nan,nan,"56,084",280.42
250,American Samoa,2011,nan,nan,"55,755",278.775
251,American Samoa,2012,nan,nan,"55,669",278.345
252,American Samoa,2013,nan,nan,"55,717",278.585
253,American Samoa,2014,nan,nan,"55,791",278.955
254,American Samoa,2015,nan,nan,"55,806",279.03
255,American Samoa,2016,nan,nan,"55,739",278.695
256,American Samoa,2017,nan,nan,"55,617",278.085
257,American Samoa,2018,nan,nan,"55,461",277.305
258,American Samoa,2019,nan,nan,"55,312",276.56
259,American Samoa,2020,nan,nan,"55,197",275.985
260,Andean Community,2001,"43889,17","44,660,979","88,550,149",23.796
261,Andean Community,2002,"44,537,729","45,324,885","89,862,614",24.149
262,Andean Community,2003,"45165,83","45,965,757","91,131,587",24.49
263,Andean Community,2004,"45,777,225","46,588,388","92,365,613",24.822
264,Andean Community,2005,"46375,09","47,196,921","93,572,011",25.146
265,Andean Community,2006,"46,963,224","47794,56","94,757,784",25.465
266,Andean Community,2007,"47,542,791","48,382,763","95,925,554",25.778
267,Andean Community,2008,"48112,02","48962,47","97074,49",26.087
268,Andean Community,2009,"48,667,758","49,534,161","98,201,919",26.39
269,Andean Community,2010,"49210,02","50100,07","99310,09",26.688
270,Andean Community,2011,"49,730,214","50,653,683","100,383,897",26.977
271,Andean Community,2012,"50,234,649","51,199,638","101,434,287",27.259
272,Andean Community,2013,"50755,3","51,764,026","102,519,326",27.55
273,Andean Community,2014,"51,335,072","52,381,355","103,716,427",27.872
274,Andean Community,2015,"52,000,549","53,072,611","105073,16",28.237
275,Andean Community,2016,"52,770,366","53,853,656","106,624,022",28.653
276,Andean Community,2017,"53,624,861","54,707,491","108,332,352",29.113
277,Andean Community,2018,"54,505,726","55,582,094","110087,82",29.584
278,Andean Community,2019,"55,331,532","56,405,132","111,736,664",30.027
279,Andean Community,2020,"56,045,016","57,125,803","113,170,819",30.413
280,Andorra,2001,nan,nan,"67,344",143.285
281,Andorra,2002,nan,nan,"70,048",149.038
282,Andorra,2003,nan,nan,"73,18",155.702
283,Andorra,2004,nan,nan,"76,25",162.234
284,Andorra,2005,nan,nan,"78,871",167.811
285,Andorra,2006,nan,nan,"80,995",172.33
286,Andorra,2007,nan,nan,"82,682",175.919
287,Andorra,2008,nan,nan,"83,86",178.426
288,Andorra,2009,nan,nan,"84,461",179.704
289,Andorra,2010,nan,nan,"84,454",179.689
290,Andorra,2011,nan,nan,"83,748",178.187
291,Andorra,2012,nan,nan,"82,427",175.377
292,Andorra,2013,nan,nan,"80,77",171.851
293,Andorra,2014,nan,nan,"79,213",168.538
294,Andorra,2015,nan,nan,"77,993",165.943
295,Andorra,2016,nan,nan,"77,295",164.457
296,Andorra,2017,nan,nan,"76,997",163.823
297,Andorra,2018,nan,nan,"77,008",163.847
298,Andorra,2019,nan,nan,"77,146",164.14
299,Andorra,2020,nan,nan,"77,265",164.394
300,Angola,2001,"8,423,958","8,521,795","16,945,753",13.592
301,Angola,2002,"8,704,663","8,814,755","17,519,418",14.053
302,Angola,2003,"8,999,242","9,122,235","18,121,477",14.536
303,Angola,2004,"9,310,252","9,447,886","18,758,138",15.046
304,Angola,2005,"9639,47","9,794,134","19,433,604",15.588
305,Angola,2006,"9987,68","10,162,225","20,149,905",16.163
306,Angola,2007,"10354,34","10551,02","20905,36",16.769
307,Angola,2008,"10738,13","10,957,506","21,695,636",17.402
308,Angola,2009,"11137,01","11,377,265","22,514,275",18.059
309,Angola,2010,"11,549,277","11806,97","23,356,247",18.734
310,Angola,2011,"11,974,824","12,245,836","24220,66",19.428
311,Angola,2012,"12,413,552","12,694,373","25,107,925",20.14
312,Angola,2013,"12,863,801","13,151,985","26,015,786",20.868
313,Angola,2014,"13,323,488","13,618,285","26,941,773",21.61
314,Angola,2015,"13,791,244","14,093,136","27884,38",22.367
315,Angola,2016,"14,266,355","14,576,127","28,842,482",23.135
316,Angola,2017,"14,749,319","15067,45","29,816,769",23.917
317,Angola,2018,"15,241,459","15,568,328","30,809,787",24.713
318,Angola,2019,"15,744,779","16080,52","31,825,299",25.528
319,Angola,2020,"16260,87","16,605,398","32,866,268",26.363
320,Anguilla,2001,nan,nan,"11,52",128
321,Anguilla,2002,nan,nan,"11,756",130.622
322,Anguilla,2003,nan,nan,"11,993",133.256
323,Anguilla,2004,nan,nan,"12,23",135.889
324,Anguilla,2005,nan,nan,"12,442",138.244
325,Anguilla,2006,nan,nan,"12,66",140.667
326,Anguilla,2007,nan,nan,"12,862",142.911
327,Anguilla,2008,nan,nan,"13,056",145.067
328,Anguilla,2009,nan,nan,"13,248",147.2
329,Anguilla,2010,nan,nan,"13,436",149.289
330,Anguilla,2011,nan,nan,"13,612",151.244
331,Anguilla,2012,nan,nan,"13,794",153.267
332,Anguilla,2013,nan,nan,"13,952",155.022
333,Anguilla,2014,nan,nan,"14,114",156.822
334,Anguilla,2015,nan,nan,"14,279",158.656
335,Anguilla,2016,nan,nan,"14,435",160.389
336,Anguilla,2017,nan,nan,"14,588",162.089
337,Anguilla,2018,nan,nan,"14,738",163.756
338,Anguilla,2019,nan,nan,"14,872",165.244
339,Anguilla,2020,nan,nan,"15,002",166.689
340,Antigua and Barbuda,2001,"36,288","40,924","77,212",175.482
341,Antigua and Barbuda,2002,"36,854","41,444","78,298",177.95
342,Antigua and Barbuda,2003,"37,425","41,886","79,311",180.252
343,Antigua and Barbuda,2004,"38,009","42,338","80,347",182.607
344,Antigua and Barbuda,2005,"38,63","42,832","81,462",185.141
345,Antigua and Barbuda,2006,"39,314","43,401","82,715",187.989
346,Antigua and Barbuda,2007,"40,017","44,012","84,029",190.975
347,Antigua and Barbuda,2008,"40,731","44,663","85,394",194.077
348,Antigua and Barbuda,2009,"41,444","45,299","86,743",197.143
349,Antigua and Barbuda,2010,"42,118","45,912","88,03",200.068
350,Antigua and Barbuda,2011,"42,763","46,487","89,25",202.841
351,Antigua and Barbuda,2012,"43,373","47,034","90,407",205.47
352,Antigua and Barbuda,2013,"43,951","47,559","91,51",207.977
353,Antigua and Barbuda,2014,"44,502","48,06","92,562",210.368
354,Antigua and Barbuda,2015,"45,028","48,543","93,571",212.661
355,Antigua and Barbuda,2016,"45,518","49,002","94,52",214.818
356,Antigua and Barbuda,2017,"45,986","49,439","95,425",216.875
357,Antigua and Barbuda,2018,"46,419","49,863","96,282",218.823
358,Antigua and Barbuda,2019,"46,851","50,264","97,115",220.716
359,Antigua and Barbuda,2020,"47,269","50,659","97,928",222.564
360,Argentina,2001,"18,090,636","19,185,008","37,275,644",13.621
361,Argentina,2002,"18,290,786","19,390,957","37,681,743",13.769
362,Argentina,2003,"18,493,545","19,594,321","38,087,866",13.917
363,Argentina,2004,"18,696,321","19,795,649","38491,97",14.065
364,Argentina,2005,"18,897,365","19,995,559","38,892,924",14.212
365,Argentina,2006,"19,095,976","20193,9","39,289,876",14.357
366,Argentina,2007,"19,293,169","20,391,134","39,684,303",14.501
367,Argentina,2008,"19,490,949","20589,21","40,080,159",14.645
368,Argentina,2009,"19,692,182","20,790,604","40,482,786",14.793
369,Argentina,2010,"19,898,751","20997,0","40,895,751",14.944
370,Argentina,2011,"20,111,326","21,209,171","41,320,497",15.099
371,Argentina,2012,"20,328,844","21,426,344","41,755,188",15.258
372,Argentina,2013,"20,549,388","21,646,646","42,196,034",15.419
373,Argentina,2014,"20,770,186","21,867,322","42,637,508",15.58
374,Argentina,2015,"20989,15","22,086,266","43,075,416",15.74
375,Argentina,2016,"21,205,599","22302,86","43,508,459",15.898
376,Argentina,2017,"21,419,801","22,517,342","43,937,143",16.055
377,Argentina,2018,"21,631,673","22,729,477","44361,15",16.21
378,Argentina,2019,"21,841,415","22939,26","44,780,675",16.363
379,Argentina,2020,"22,049,146","23,146,631","45,195,777",16.515
380,Armenia,2001,"1,431,993","1,618,693","3,050,686",107.154
381,Armenia,2002,"1,424,853","1,609,123","3,033,976",106.567
382,Armenia,2003,"1,418,321","1,599,617","3,017,938",106.004
383,Armenia,2004,"1,410,957","1,589,758","3,000,715",105.399
384,Armenia,2005,"1401,87","1,579,392","2,981,262",104.716
385,Armenia,2006,"1,390,216","1,568,085","2,958,301",103.909
386,Armenia,2007,"1,376,497","1,556,118","2,932,615",103.007
387,Armenia,2008,"1,362,799","1,544,816","2,907,615",102.129
388,Armenia,2009,"1,352,073","1,536,021","2,888,094",101.443
389,Armenia,2010,"1,346,351","1,530,963","2,877,314",101.065
390,Armenia,2011,"1,346,388","1,530,148","2,876,536",101.037
391,Armenia,2012,"1,351,255","1,532,984","2,884,239",101.308
392,Armenia,2013,"1,359,259","1,538,334","2,897,593",101.777
393,Armenia,2014,"1367,9","1,544,503","2,912,403",102.297
394,Armenia,2015,"1,375,333","1,550,226","2,925,559",102.759
395,Armenia,2016,"1,381,014","1,555,133","2,936,147",103.131
396,Armenia,2017,"1,385,362","1,559,427","2,944,789",103.435
397,Armenia,2018,"1388,6","1,563,141","2,951,741",103.679
398,Armenia,2019,"1,391,269","1,566,459","2,957,728",103.889
399,Armenia,2020,"1,393,747","1,569,487","2,963,234",104.083
400,Aruba,2001,"44,643","48,249","92,892",516.067
401,Aruba,2002,"45,486","49,506","94,992",527.733
402,Aruba,2003,"46,31","50,706","97,016",538.978
403,Aruba,2004,"47,028","51,716","98,744",548.578
404,Aruba,2005,"47,574","52,454","100,028",555.711
405,Aruba,2006,"47,935","52,895","100,83",560.167
406,Aruba,2007,"48,14","53,086","101,226",562.367
407,Aruba,2008,"48,253","53,109","101,362",563.122
408,Aruba,2009,"48,34","53,112","101,452",563.622
409,Aruba,2010,"48,465","53,2","101,665",564.806
410,Aruba,2011,"48,648","53,402","102,05",566.944
